success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,subject_id,participant_id,age,gender,prompt,phase,condition,lure_bin
,similar_1a,206,293857,0.0-206.0,null,run_exp/static/audio/clip_11a_similar_mop.m4a,null,,,,,,,,
,similar_1b,207,300359,0.0-207.0,null,run_exp/static/audio/clip_11b_similar_mop.m4a,null,,,,,,,,
,new_2,208,303862,0.0-208.0,null,run_exp/static/audio/clip_12_new_stoplight.m4a,null,,,,,,,,
,old_2,209,307368,0.0-209.0,null,run_exp/static/audio/clip_13_old_baseball.m4a,null,,,,,,,,
,similar_2a,210,310874,0.0-210.0,null,run_exp/static/audio/clip_14a_similar_gummies.m4a,null,,,,,,,,
,similar_2b,211,318378,0.0-211.0,null,run_exp/static/audio/clip_14b_similar_gummies.m4a,null,,,,,,,,
,practice,212,334099,0.0-212.0,null,run_exp/static/audio/clip_15_practice.m4a,null,,,,,"<div class='center'><p>Ok, let’s practice a little to make sure you understand the difference between new, similar, and old. Let’s say you saw these three items in the indoor/outdoor game. Study these because you’ll be tested on them soon in this practice game. </p><p><img src='run_exp/static/images/tutorial/test/three_indoor_outdoor.png' height='300'></p></div>",,,
,html-keyboard-response,213,335687,0.0-213.0,1587.400001,"<div class='center'><p>Ok, let’s practice a little to make sure you understand the difference between new, similar, and old. Let’s say you saw these three items in the indoor/outdoor game. Study these because you’ll be tested on them soon in this practice game. </p><p><img src='run_exp/static/images/tutorial/test/three_indoor_outdoor.png' height='300'></p><div><p><b>[Press the space bar to continue]</b></p></div>",32,,,,,,,,
,practice_q1,214,338694,0.0-214.0,3006.200001,run_exp/static/audio/clip_16_practice_question.m4a,78,,,,,,,,
,correct,215,340577,0.0-215.0-0.0,null,run_exp/static/audio/clip_17_correct.m4a,null,,,,,<div class='center'><p>That's correct!</p></div>,,,
,html-keyboard-response,216,341253,0.0-215.0-1.0,675.3000002,<div class='center'><p>That's correct!</p><div><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,
,practice_q2,217,342478,0.0-215.0-2.0,1222.599999,run_exp/static/audio/clip_16_practice_question.m4a,78,,,,,,,,
,incorrect_q2,218,345500,0.0-216.0-0.0,null,run_exp/static/audio/clip_19_incorrect_old.m4a,null,,,,,<div class='center'><p>That’s incorrect. It’s old.</p></div>,,,
,html-keyboard-response,219,346158,0.0-216.0-1.0,657.3000002,<div class='center'><p>That’s incorrect. It’s old.</p><div><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,
,practice_q3,220,347430,0.0-216.0-2.0,1270.700001,run_exp/static/audio/clip_16_practice_question.m4a,66,,,,,,,,
,correct,221,349308,0.0-217.0-0.0,null,run_exp/static/audio/clip_17_correct.m4a,null,,,,,<div class='center'><p>That's correct!</p></div>,,,
,html-keyboard-response,222,350102,0.0-217.0-1.0,793,<div class='center'><p>That's correct!</p><div><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,
,repeat,223,354812,0.0-218.0-0.0,null,run_exp/static/audio/clip_21_practice_again.m4a,null,,,,,<div class='center'><p>Oops. you missed at least one of these questions. Let's try practiceing again. </p></div>,,,
,html-keyboard-response,224,355359,0.0-218.0-1.0,546.6999998,<div class='center'><p>Oops. you missed at least one of these questions. Let's try practiceing again. </p><div><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,
,practice_q1,225,356911,0.0-218.0-2.0,1551,run_exp/static/audio/clip_16_practice_question.m4a,78,,,,,,,,
,correct,226,358782,0.0-219.0-0.0,null,run_exp/static/audio/clip_17_correct.m4a,null,,,,,<div class='center'><p>That's correct!</p></div>,,,
,html-keyboard-response,227,359414,0.0-219.0-1.0,631.0999994,<div class='center'><p>That's correct!</p><div><p><b>[Press the space bar to continue]</b></p></div>,32,,,,,,,,
,practice_q2,228,359999,0.0-219.0-2.0,584,run_exp/static/audio/clip_16_practice_question.m4a,86,,,,,,,,
,correct,229,361870,0.0-220.0-0.0,null,run_exp/static/audio/clip_17_correct.m4a,null,,,,,<div class='center'><p>That's correct!</p></div>,,,
